rssd9001,rssd9999,bhc_avgtradingratio,treat_3_b_avg,after_DFA_1,dep_roa1,dep_leverage,dep_lnassets,dep_creditrisk_total3,dep_cir,dep_depositratio,dep_loans_REratio,dep_liquidity,dep_cpp_bankquarter
1039502,20131231.0,0.15751594,1.0,1.0,0.002163559,0.085642174,21.605251000000003,0.042777192,0.61471725,0.25048584,0.37599465,0.15649873,1.0
1039502,20140331.0,0.1544439,1.0,1.0,0.0021560239000000003,0.08806277800000001,21.630173000000003,0.039562229,0.57476562,0.25644949,0.3805263,0.15546735,1.0
1039502,20140630.0,0.15356785,1.0,1.0,0.0023956075,0.089453824,21.647522,0.038636025,0.57832402,0.24681963,0.37261158,0.16539998,1.0
1039502,20140930.0,0.15671982,1.0,1.0,0.0022081975,0.09087038,21.650161999999998,0.038438488,0.60022038,0.24323305,0.37673163,0.17182527,1.0
1039502,20141231.0,0.16188875,1.0,1.0,0.0019339423999999998,0.09086156599999999,21.668251,0.037902191,0.62377679,0.24527027,0.37614131,0.18778518,1.0
1039502,20150331.0,0.1578071,1.0,1.0,0.0022967344,0.090861395,21.669949,0.034921676,0.57384682,0.25168931,0.38973373,0.17524322605150114,1.0
1039502,20150630.0,0.15915053,1.0,1.0,0.0025034121,0.094936423,21.618534,0.032436665,0.56783724,0.24904808,0.39535931,0.17523579817565632,1.0
1073757,20040930.0,0.12290303,1.0,0.0,0.0035356073999999998,0.09104046199999999,20.808813,0.016178271,0.42328832,0.35445329999999997,0.56975836,0.036152187999999995,0.0
1073757,20041231.0,0.12220833,1.0,0.0,0.0033186807,0.090057358,20.829435,0.016036093,0.38874492,0.35281435,0.56486654,0.034460615,0.0
1073757,20050331.0,0.12331227,1.0,0.0,0.0037780015,0.085635006,20.916930999999998,0.014458755,0.36898133,0.34369981,0.56907874,0.032338005,0.0
1073757,20050630.0,0.12982512,1.0,0.0,0.0037784721,0.081250742,20.947247,0.013439727,0.33269858,0.32833189,0.56448734,0.031590323999999996,0.0
1073757,20050930.0,0.13419774,1.0,0.0,0.003064628,0.08099401,20.951267,0.013553302,0.33831406,0.31556582,0.56249946,0.032215647,0.0
1073757,20051231.0,0.12932226,1.0,0.0,0.0028023336,0.079697326,20.981251,0.014188618,0.32350059999999997,0.30196241,0.5579201,0.033538248,0.0
1073757,20060331.0,0.11692187,1.0,0.0,0.0037343118,0.08649338,21.042391000000002,0.014713048000000001,0.32750243,0.30467251,0.52508658,0.031955637,0.0
1073757,20060630.0,0.11343277,1.0,0.0,0.0038786034999999997,0.091117635,21.09313,0.01456825,0.30690539,0.29133856,0.54891092,0.029692782,0.0
1073757,20060930.0,0.1174991,1.0,0.0,0.0037357812,0.090177804,21.095934,0.015777195,0.28849229,0.28192466,0.55753648,0.029219029,0.0
1073757,20061231.0,0.13083817,1.0,0.0,0.0036062921999999997,0.09222696,21.104223,0.01779256,0.30437884,0.28243712,0.55905789,0.029523181000000003,0.0
1073757,20070331.0,0.13426247,1.0,0.0,0.0035345613,0.090850808,21.135122,0.016010212,0.30331334,0.28110358,0.57415462,0.028792747999999996,0.0
1073757,20070630.0,0.14237648,1.0,0.0,0.0037838960999999997,0.088860199,21.152243,0.016317287,0.2827723,0.27802056,0.5727911,0.027569477000000002,0.0
1073757,20070930.0,0.14426805,1.0,0.0,0.0023717864,0.087960057,21.182164999999998,0.019062088999999997,0.29441041,0.27570137,0.56180906,0.026976414,0.0
1073757,20071231.0,0.13459906,1.0,0.0,0.00016215167,0.08637961699999999,21.265991,0.02462711,0.38708004,0.29693782,0.55536342,0.027386412000000002,0.0
1073757,20080331.0,0.13776188,1.0,0.0,0.0006986655599999999,0.087499395,21.279148,0.027945248,0.32472891,0.28845686,0.55117112,0.028155116,0.0
1073757,20080630.0,0.13537188,1.0,0.0,0.001967431,0.09201698800000001,21.267488,0.03044226,0.31833735,0.28517303,0.52668875,0.026458554,0.0
1073757,20080930.0,0.13477565,1.0,0.0,0.0006607931599999999,0.09094241300000001,21.331101999999998,0.045426725999999994,0.37105632,0.31784424,0.56922704,0.025921466,0.0
1073757,20081231.0,0.13089056,1.0,0.0,-0.00097799802,0.092411906,21.323238,0.059376523,0.41384226,0.31863743,0.56320781,0.024193782,0.0
1073757,20090331.0,0.17837667,1.0,0.0,0.0020492051,0.100495,21.566303,0.067101911,0.39082533,0.31000879,0.56042749,0.055918805,1.0
1073757,20090630.0,0.13447365,1.0,0.0,0.0014078942,0.10802571,21.536886,0.07185673,0.48764804,0.28187898,0.56458426,0.077343769,1.0
